,digit_BALANCE,digit_PURCHASES,digit_ONEOFF_PURCHASES,digit_INSTALLMENTS_PURCHASES,digit_CASH_ADVANCE,digit_PURCHASES_FREQUENCY,digit_ONEOFF_PURCHASES_FREQUENCY,digit_PURCHASES_INSTALLMENTS_FREQUENCY,digit_CASH_ADVANCE_TRX,digit_CREDIT_LIMIT,digit_PAYMENTS,digit_MINIMUM_PAYMENTS,digit_PRC_FULL_PAYMENT,digit_sqrt_BALANCE_FREQUENCY,digit_sqrt_CASH_ADVANCE_FREQUENCY,digit_sqrt_PURCHASES_TRX,digit_avg_oneoff_purchases,digit_avg_installment_purchases,digit_avg_cash_advance,TENURE
1049,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
1050,3,1,1,1,1,5,5,1,1,2,1,1,1,8,3,2,1,1,1,12
1051,1,1,1,1,1,1,1,1,1,2,1,1,1,8,1,1,1,1,1,12
1052,1,1,1,1,1,5,1,4,1,1,1,1,8,6,1,2,1,1,1,12
1053,1,1,1,1,1,8,2,8,1,2,2,1,1,8,3,4,2,1,1,12
1054,1,1,1,1,1,6,1,5,1,4,1,1,1,8,1,2,1,1,1,9
1055,1,1,1,1,1,8,1,8,1,1,1,1,4,8,1,2,1,1,1,12
1056,1,1,1,1,1,7,1,6,1,1,1,1,2,8,1,2,1,1,1,12
1057,1,1,1,1,1,8,8,1,1,1,1,1,1,7,1,2,1,1,1,12
1058,1,1,1,1,1,8,1,8,1,3,1,1,8,8,1,3,1,1,1,12
1059,4,1,1,1,5,8,7,8,2,5,5,1,1,8,3,4,1,1,1,12
1060,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1061,1,1,1,1,1,8,6,7,1,2,1,1,7,8,1,3,1,1,1,9
1062,1,1,1,1,1,8,8,1,1,1,1,1,1,8,2,2,1,1,1,12
1063,3,1,1,1,1,8,1,8,2,2,1,1,1,8,4,2,1,1,1,12
1064,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1065,2,1,1,1,1,1,1,1,1,2,1,1,1,8,1,1,1,1,1,12
1066,1,1,1,1,1,2,1,1,1,1,1,1,1,6,1,1,1,1,1,12
1067,1,1,1,1,1,3,3,1,1,1,1,1,1,8,3,2,1,1,1,12
1068,2,1,1,1,1,2,2,1,1,2,1,1,1,8,3,1,1,1,1,12
1069,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,12
1070,1,1,1,1,1,5,1,5,1,1,1,1,1,8,2,2,1,1,1,12
1071,1,1,1,1,1,8,1,8,1,1,1,1,8,8,1,3,1,1,1,12
1072,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,8
1073,1,1,1,1,1,1,1,1,1,3,1,1,1,8,1,1,1,1,1,12
1074,1,1,1,1,1,3,3,1,1,2,1,1,8,7,1,1,1,1,1,12
1075,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,12
1076,2,1,1,1,1,1,1,1,1,2,1,1,1,8,4,1,1,1,1,12
1077,1,1,1,1,1,2,2,1,1,1,1,1,1,5,1,1,1,1,1,12
1078,1,1,1,1,1,3,3,2,1,2,1,1,1,8,1,2,1,1,1,12
1079,2,1,1,1,1,8,5,8,1,2,1,1,1,8,2,4,1,1,1,12
1080,1,1,1,1,1,3,3,1,1,1,1,1,1,6,1,2,1,1,1,12
1081,1,1,1,1,1,5,5,3,1,1,1,1,1,8,1,2,1,1,1,12
1082,1,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
1083,1,1,1,1,1,1,1,1,1,2,2,1,5,5,2,1,1,1,2,12
1084,1,1,1,1,1,8,8,7,1,2,1,1,4,8,1,3,1,1,1,12
1085,1,1,1,1,1,3,3,3,1,1,1,1,3,5,1,2,1,1,1,12
1086,2,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,12
1087,2,1,1,1,1,8,3,8,1,2,1,1,1,8,2,4,1,1,1,12
1088,1,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,10
1089,1,1,1,1,1,7,5,4,2,2,1,1,1,8,4,2,1,1,1,12
1090,1,1,1,1,1,4,2,3,1,2,1,1,5,7,1,2,1,1,1,12
1091,3,1,1,1,1,5,5,1,1,3,1,1,1,8,3,2,1,1,1,12
1092,1,1,1,1,1,4,1,4,1,2,1,1,5,6,1,1,1,1,1,12
1093,1,1,1,1,1,5,5,4,1,1,1,1,1,8,2,2,1,1,1,12
1094,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
1095,2,1,1,1,1,7,1,6,1,2,1,1,1,8,3,2,1,1,1,12
1096,1,1,1,1,1,5,1,5,3,1,1,1,1,8,4,2,1,1,1,12
1097,1,1,1,1,1,2,2,1,1,2,1,1,1,3,1,1,1,1,1,12
1098,2,1,1,1,1,8,6,8,1,1,1,1,1,8,2,3,1,1,1,12
1099,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,12
1100,3,1,1,1,1,2,2,1,1,2,1,1,1,8,4,1,1,1,1,12
1101,1,1,1,1,1,7,1,7,1,1,1,1,7,8,1,2,1,1,1,12
1102,1,1,1,1,1,8,1,8,1,2,1,1,4,8,1,2,1,1,1,12
1103,2,1,1,1,1,8,2,8,1,2,1,1,1,8,1,3,1,1,1,12
1104,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,11
1105,1,1,1,1,1,3,3,1,1,1,1,1,1,8,1,1,1,1,1,12
1106,1,1,1,1,1,5,1,4,1,1,1,1,1,8,2,2,1,1,1,12
1107,1,1,1,1,1,5,1,5,1,2,1,1,3,8,2,2,1,1,1,12
1108,2,1,1,1,1,1,1,1,1,3,1,1,1,8,2,1,1,1,1,12
1109,4,1,1,1,1,5,1,4,1,3,1,1,1,8,1,2,1,1,1,12
1110,2,1,1,1,2,1,1,1,2,2,1,1,1,8,4,1,1,1,1,12
1111,1,1,1,1,1,7,1,7,1,1,1,1,1,8,1,2,1,1,1,12
1112,1,1,1,1,1,4,1,3,1,1,1,1,1,8,1,1,1,1,1,12
1113,1,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
1114,3,1,1,1,2,7,1,7,1,2,2,1,1,8,3,2,1,1,1,12
1115,1,1,1,1,1,1,1,1,1,2,1,1,1,8,1,1,1,1,1,12
1116,1,1,1,1,1,6,1,6,1,2,1,1,8,7,1,2,1,1,1,9
1117,1,1,1,1,1,2,1,2,1,4,1,1,1,8,1,1,1,1,1,10
1118,1,1,1,2,1,7,3,6,1,4,1,1,6,8,1,2,1,1,1,12
1119,1,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,12
1120,2,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
1121,1,1,1,1,1,3,1,2,1,3,1,1,1,8,1,2,1,1,1,12
1122,2,1,1,1,1,2,2,1,1,1,1,1,1,8,1,1,2,1,1,8
1123,1,1,1,1,1,4,1,4,1,2,1,1,1,7,2,2,1,1,1,12
1124,1,1,1,1,1,2,2,1,1,1,1,1,1,8,3,1,1,1,1,12
1125,2,1,1,1,1,8,5,8,1,2,1,1,1,8,1,5,1,1,1,12
1126,1,1,1,1,1,7,7,1,1,2,1,1,1,8,2,3,1,1,1,11
1127,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,12
1128,1,1,1,1,1,8,1,7,1,3,1,1,6,8,1,2,1,1,1,12
1129,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,12
1130,3,1,1,1,1,1,1,1,1,3,1,4,1,8,1,1,1,1,1,12
1131,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,12
1132,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1133,1,1,1,1,1,1,1,1,2,2,1,1,3,7,3,1,1,1,1,12
1134,1,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
1135,2,1,1,1,1,7,2,6,1,2,1,1,1,8,2,2,1,1,1,12
1136,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
1137,1,1,1,1,1,8,7,8,1,2,1,1,3,8,1,4,1,1,1,12
1138,2,1,1,1,1,7,2,5,1,2,1,1,1,8,1,2,1,1,1,12
1139,1,1,1,1,1,6,2,5,1,1,1,1,1,8,2,2,1,1,1,11
1140,2,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,11
1141,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1142,1,1,1,1,1,7,7,4,1,2,1,1,1,8,1,2,1,1,1,12
1143,2,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,11
1144,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,12
1145,4,1,1,1,1,1,1,1,1,5,1,1,1,8,2,1,1,1,1,12
1146,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,12
1147,3,1,1,1,1,3,3,1,1,3,1,1,1,8,3,2,1,1,1,12
1148,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,4,1,1,1,12
1149,2,1,1,1,1,8,5,8,1,3,1,1,1,8,2,3,1,1,1,12
1150,1,2,1,1,1,8,8,8,1,2,2,1,8,8,1,4,1,1,1,12
1151,1,1,1,1,1,6,4,4,1,2,1,1,1,8,1,3,1,1,1,12
1152,1,1,1,1,1,7,2,5,1,1,1,1,1,8,2,2,1,1,1,10
1153,1,1,1,1,1,7,1,6,1,2,1,1,6,8,1,2,1,1,1,12
1154,1,1,1,1,1,2,2,1,1,1,1,1,1,8,1,2,1,1,1,12
1155,1,1,1,1,1,1,1,1,1,3,5,1,1,3,1,1,3,1,1,12
1156,1,1,1,1,1,8,8,1,1,1,1,1,8,8,1,2,1,1,1,12
1157,1,1,1,1,1,2,2,1,1,2,1,1,1,4,1,1,1,1,1,12
1158,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
1159,1,1,1,1,1,8,1,7,1,1,1,1,3,8,1,2,1,1,1,12
1160,1,1,1,1,1,7,1,7,1,1,1,1,2,7,1,2,1,1,1,12
1161,1,1,1,1,1,5,5,1,1,1,1,1,2,8,2,3,1,1,1,12
1162,2,1,1,1,1,2,2,1,1,1,1,1,1,8,2,1,1,1,1,12
1163,4,1,1,1,1,1,1,1,1,2,1,1,1,8,4,1,1,1,1,12
1164,1,1,1,1,1,3,1,3,1,2,1,1,1,7,1,1,1,1,1,12
1165,1,1,1,1,1,3,1,3,1,2,1,1,8,6,1,1,1,1,1,12
1166,1,1,1,1,1,1,1,1,1,2,1,1,5,4,1,1,1,1,1,12
1167,1,1,1,1,1,6,6,1,1,1,1,1,1,8,2,2,1,1,1,7
1168,1,1,1,1,1,5,2,4,1,1,1,1,1,8,2,2,1,1,1,12
1169,1,1,1,1,1,8,3,8,1,1,1,1,3,8,1,3,1,1,1,12
1170,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1171,3,1,1,1,1,3,1,3,1,4,1,1,1,8,2,1,1,1,1,10
1172,1,1,1,1,1,1,1,1,1,3,1,1,1,8,2,1,1,1,1,12
1173,1,1,1,1,1,3,3,1,1,1,1,1,1,8,1,1,1,1,1,12
1174,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,1,1,1,1,12
1175,1,1,1,1,1,1,1,1,1,1,1,1,2,8,2,1,1,1,1,11
1176,1,1,1,1,1,8,8,5,1,3,1,1,8,8,1,3,1,1,1,12
1177,1,1,1,1,1,6,1,5,1,1,1,1,7,7,1,3,1,1,1,12
1178,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
1179,1,1,1,1,1,5,1,5,1,1,1,1,1,8,2,1,1,1,1,12
1180,2,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,12
1181,1,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,11
1182,1,1,1,1,1,1,1,1,1,2,2,1,3,6,2,1,1,1,1,12
1183,1,1,1,1,1,8,8,2,1,3,1,1,8,8,2,2,1,1,1,12
1184,1,1,1,1,1,8,1,7,1,1,1,1,1,8,1,2,1,1,1,12
1185,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
1186,1,1,1,1,1,5,3,2,1,1,1,1,2,8,3,2,1,1,1,12
1187,1,1,1,1,1,6,3,4,1,2,1,1,1,8,1,2,1,1,1,12
1188,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,12
1189,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,3,12
1190,1,4,4,3,1,8,8,8,1,5,4,1,8,8,1,5,2,1,1,12
1191,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,1,1,1,1,8
1192,1,1,1,1,1,3,3,1,1,2,1,1,6,8,2,2,1,1,1,12
1193,1,1,2,1,1,7,7,1,1,2,2,1,8,8,4,4,1,1,1,12
1194,1,1,1,1,1,3,1,3,1,1,1,1,1,8,1,1,1,1,1,12
1195,4,1,1,1,3,4,4,1,2,4,1,1,1,8,4,2,1,1,1,12
1196,1,1,1,1,1,7,1,7,1,1,1,1,2,8,1,2,1,1,1,12
1197,1,1,1,1,1,7,5,6,1,1,1,1,2,8,1,2,1,1,1,12
1198,1,1,1,1,1,7,5,4,1,2,1,1,6,8,1,2,1,1,1,12
1199,1,1,1,1,1,7,5,5,1,3,2,1,1,8,1,3,1,1,1,12
1200,2,1,1,1,1,5,3,3,1,3,1,1,1,8,1,2,1,1,1,12
1201,1,1,1,1,1,8,1,8,1,1,1,1,8,8,1,3,1,1,1,12
1202,3,1,1,1,1,7,7,2,1,2,1,1,1,8,1,2,1,1,1,12
1203,1,1,1,1,1,1,1,1,1,2,1,1,8,3,1,1,1,1,1,12
1204,1,1,1,1,1,2,2,1,1,3,1,1,1,5,1,1,1,1,1,10
1205,1,1,1,1,1,8,1,8,1,2,1,1,1,8,1,3,1,1,1,12
1206,1,1,1,1,1,8,1,8,1,1,1,1,1,8,2,3,1,1,1,12
1207,1,1,1,1,1,3,3,1,1,2,1,1,1,8,1,1,1,1,1,12
1208,2,1,1,1,2,3,3,1,2,2,1,1,1,8,4,2,1,1,1,12
1209,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,10
1210,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,12
1211,4,1,1,1,2,1,1,1,1,4,1,1,1,8,2,1,1,1,5,12
1212,1,1,1,1,1,7,7,2,1,3,1,1,8,8,1,3,1,1,1,12
1213,1,1,1,1,1,8,7,7,1,2,1,1,8,8,1,3,1,1,1,12
1214,2,1,1,1,1,5,1,5,1,2,1,1,1,8,2,2,1,1,1,12
1215,1,1,1,1,1,2,2,1,1,3,1,1,1,4,1,1,1,1,1,12
1216,3,1,1,1,1,7,7,1,1,3,1,1,1,8,2,3,1,1,1,12
1217,1,1,1,1,3,1,1,1,4,2,2,1,2,8,3,1,1,1,1,12
1218,1,2,1,1,1,8,8,8,1,4,1,1,8,8,1,5,1,1,1,12
1219,1,1,1,1,1,2,1,1,1,1,1,1,8,5,1,1,1,1,1,12
1220,1,1,1,1,1,8,8,1,1,2,1,1,8,8,1,2,1,1,1,12
1221,1,1,1,1,1,8,8,1,1,3,1,1,8,8,1,2,1,1,1,12
1222,1,1,1,1,1,1,1,1,1,2,4,1,8,5,2,1,1,1,3,12
1223,1,1,1,1,1,4,1,3,1,2,1,1,2,5,1,2,1,1,1,12
1224,1,1,1,1,1,8,1,7,1,2,1,1,7,7,1,2,1,1,1,8
1225,2,1,1,1,1,5,5,1,2,3,1,1,1,8,4,2,1,1,1,12
1226,1,1,1,1,1,8,8,3,1,3,1,1,8,8,1,3,1,1,1,12
1227,2,1,1,1,1,3,3,1,1,3,1,1,1,8,3,2,1,1,1,12
1228,1,1,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,12
1229,3,1,1,1,1,1,1,1,1,4,1,1,1,8,4,1,1,1,1,12
1230,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
1231,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1232,1,1,1,1,1,8,5,8,1,1,1,1,1,8,3,3,1,1,1,12
1233,1,1,1,1,1,4,3,2,1,2,1,1,1,8,1,2,1,1,1,12
1234,1,1,1,1,1,8,1,8,1,1,1,1,7,8,1,2,1,1,1,10
1235,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,12
1236,2,1,1,1,1,1,1,1,2,2,1,1,1,8,4,1,1,1,1,12
1237,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,10
1238,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,12
1239,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1240,1,1,1,1,1,8,5,8,1,2,1,1,5,8,1,4,1,1,1,12
1241,1,1,1,1,1,8,8,8,1,1,1,1,1,8,1,4,1,1,1,12
1242,3,1,1,1,1,8,7,8,1,2,1,1,1,8,2,4,1,1,1,12
1243,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,9
1244,1,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,12
1245,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
1246,1,1,1,1,1,5,1,3,1,2,1,1,7,6,1,2,1,1,1,12
1247,1,1,1,1,1,8,1,8,1,1,1,1,3,8,1,2,1,1,1,12
1248,1,1,1,1,1,8,5,8,1,2,1,1,1,8,1,3,1,1,1,12
1249,2,1,1,1,2,5,3,2,2,3,1,1,1,8,4,2,1,1,1,12
1250,1,1,1,1,1,5,1,5,1,2,1,1,8,7,1,2,1,1,1,12
1251,1,1,1,1,1,3,3,1,1,1,1,1,1,7,2,1,1,1,1,7
1252,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,12
1253,1,1,1,1,1,2,2,1,1,3,1,1,1,5,1,1,1,1,1,12
1254,1,1,1,1,1,1,1,1,1,2,1,1,1,5,2,1,1,1,1,12
1255,1,1,1,1,1,6,6,1,1,1,1,1,1,8,2,2,1,1,1,12
1256,2,7,5,6,1,8,8,8,1,5,6,1,8,8,1,8,2,2,1,12
1257,1,1,1,1,1,8,2,8,1,2,1,1,5,8,2,3,1,1,1,12
1258,1,1,1,1,1,8,1,8,1,2,1,1,3,8,2,2,1,1,1,12
1259,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
1260,1,1,1,1,1,2,2,1,1,1,1,1,1,6,1,1,1,1,1,6
1261,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1262,3,1,1,1,1,1,1,1,1,4,1,1,1,8,1,1,1,1,1,12
1263,1,1,1,1,1,8,8,1,1,5,1,1,8,8,1,3,1,1,1,12
1264,3,1,1,1,1,8,8,1,1,4,1,1,1,8,3,2,1,1,1,12
1265,1,1,1,1,1,8,1,8,1,1,1,1,3,8,1,2,1,1,1,12
1266,1,1,1,1,1,3,3,1,1,5,1,1,8,6,2,2,1,1,1,10
1267,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,1,1,1,12
1268,1,1,1,1,1,8,2,8,1,2,1,1,1,5,1,3,2,1,1,12
1269,2,1,1,1,1,8,7,4,1,2,1,1,1,8,1,4,1,1,1,12
1270,1,1,1,1,1,8,1,7,1,2,1,1,2,8,1,2,1,1,1,12
1271,1,1,1,1,1,8,8,7,1,2,1,1,7,8,1,4,1,1,1,12
1272,1,1,1,1,1,3,1,2,1,2,1,1,8,6,1,1,1,1,1,10
1273,1,1,1,1,1,4,2,3,1,1,1,1,1,8,1,2,1,1,1,11
1274,1,1,1,1,1,5,2,4,1,1,1,1,1,8,1,2,1,1,1,12
1275,1,1,1,1,1,8,3,8,1,2,1,1,1,8,1,4,1,1,1,12
1276,1,1,1,1,1,5,3,3,1,2,1,1,1,7,1,2,1,1,1,12
1277,1,1,1,1,1,7,3,6,1,1,1,1,1,8,1,3,1,1,1,12
1278,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1279,1,1,1,1,1,5,5,1,1,1,1,1,8,7,1,2,1,1,1,11
1280,1,1,1,1,1,3,1,3,1,2,1,1,1,8,1,2,1,1,1,12
1281,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
1282,3,1,1,1,2,2,2,1,1,3,2,1,1,8,3,1,1,1,1,12
1283,1,1,1,1,1,4,1,3,1,1,1,1,1,8,1,2,1,1,1,11
1284,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,12
1285,1,1,1,1,1,7,1,7,1,3,1,1,1,8,1,2,1,1,1,12
1286,1,1,1,1,1,8,8,8,1,4,1,1,7,8,2,4,1,1,1,12
1287,1,1,1,1,1,8,8,1,1,2,1,1,8,8,1,2,1,1,1,12
1288,3,1,1,1,1,8,6,6,1,3,1,1,1,8,1,3,1,1,1,12
1289,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,1,2,1,1,12
1290,1,1,1,1,1,5,4,3,1,2,1,1,1,8,1,3,1,1,1,12
1291,2,1,1,1,1,2,2,1,1,2,2,1,1,8,1,1,1,1,1,12
1292,1,1,1,1,1,8,8,1,1,4,1,1,8,8,1,4,1,1,1,12
1293,2,1,1,1,1,8,8,1,1,2,1,1,1,8,2,2,1,1,1,12
1294,2,1,1,1,1,5,5,1,1,2,1,1,1,8,2,2,1,1,1,12
1295,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,12
1296,1,1,1,1,1,8,1,8,1,2,1,1,1,8,1,2,1,1,1,12
1297,3,1,1,1,1,6,5,5,1,2,1,1,1,8,1,2,1,1,1,12
1298,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,12
1299,1,1,1,1,1,3,3,3,1,1,1,1,3,5,1,2,1,1,1,12
1300,2,1,1,1,1,8,2,8,2,1,1,1,1,8,4,2,1,1,1,12
1301,1,1,1,1,1,6,6,1,1,3,1,1,8,7,1,2,1,1,1,6
1302,1,1,1,1,1,8,8,8,1,5,2,1,8,8,1,5,1,1,1,12
1303,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1304,1,1,1,1,1,7,7,1,1,2,1,1,8,8,1,3,1,1,1,12
1305,2,1,2,1,1,7,5,3,1,2,1,1,1,8,3,4,1,1,1,12
1306,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
1307,1,1,1,1,2,1,1,1,1,2,1,1,2,8,4,1,1,1,1,8
1308,1,1,1,1,1,7,7,2,1,5,1,1,7,8,1,3,1,1,1,12
1309,1,1,1,1,1,3,2,1,1,4,1,1,1,5,1,1,1,1,1,12
1310,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1311,2,1,1,1,1,8,6,8,1,3,1,1,1,8,3,4,1,1,1,12
1312,1,1,1,1,1,5,5,1,1,4,1,1,5,7,1,2,1,1,1,12
1313,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1314,1,1,1,1,1,8,5,8,1,3,1,1,1,8,1,3,1,1,1,12
1315,2,1,1,1,1,1,1,1,3,1,1,1,1,8,4,1,1,1,1,12
1316,2,1,1,1,1,4,2,3,1,2,1,1,1,8,1,2,1,1,1,12
1317,1,1,1,1,1,4,3,1,1,1,1,1,1,8,1,2,1,1,1,12
1318,4,1,1,1,1,8,1,7,1,4,1,1,1,8,2,2,1,1,1,12
1319,2,1,1,1,1,2,2,2,1,3,1,1,1,8,3,2,1,1,1,12
1320,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1321,1,1,1,1,1,8,8,1,1,2,1,1,1,8,1,2,1,1,1,12
1322,1,1,1,1,1,8,8,1,1,2,1,1,2,8,1,3,1,1,1,12
1323,1,1,1,1,1,5,5,1,1,1,1,1,3,8,3,2,1,1,1,12
1324,1,1,1,1,1,3,1,3,1,2,1,1,8,5,1,2,1,1,1,12
1325,1,1,1,1,1,8,8,3,1,1,1,1,1,8,1,2,1,1,1,12
1326,1,1,1,1,1,8,3,8,1,3,1,1,1,8,1,2,1,1,1,12
1327,2,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
1328,2,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
1329,1,1,1,1,1,7,7,7,1,2,1,1,1,8,1,3,1,1,1,12
1330,2,1,1,1,1,3,3,1,1,2,1,1,1,8,3,1,1,1,1,12
1331,1,1,1,1,1,8,5,8,1,1,1,1,1,8,1,3,1,1,1,12
1332,4,1,1,1,1,1,1,1,1,3,1,1,1,8,3,1,1,1,1,12
1333,3,1,1,1,1,1,1,1,1,4,2,1,1,8,3,1,1,1,1,11
1334,1,1,1,1,1,7,1,7,1,1,1,1,1,1,1,2,1,1,1,7
1335,3,1,1,1,1,8,1,8,1,3,1,1,1,8,3,2,1,1,1,12
1336,2,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,12
1337,1,1,1,1,1,3,1,3,1,1,1,1,3,5,1,2,1,1,1,12
1338,1,1,1,1,1,8,8,8,1,1,1,1,8,8,2,4,1,1,1,12
1339,1,1,1,1,1,6,1,6,1,2,1,1,6,7,1,2,1,1,1,12
1340,1,1,1,1,1,8,1,8,1,1,1,1,7,8,1,4,1,1,1,12
1341,3,1,1,1,2,3,3,1,2,4,1,1,1,8,4,1,1,1,1,12
1342,3,1,1,1,1,8,8,5,1,2,1,1,1,8,1,5,1,1,1,12
1343,1,1,1,1,1,8,8,7,1,2,1,1,1,8,1,3,1,1,1,12
1344,1,1,1,1,1,5,5,1,1,2,1,1,2,8,1,2,1,1,1,12
1345,3,1,1,1,1,1,1,1,1,3,1,1,1,8,2,1,1,1,1,12
1346,1,1,1,1,1,7,1,6,1,1,1,1,1,8,2,2,1,1,1,12
1347,1,1,1,1,1,4,3,1,1,2,1,1,3,8,1,2,1,1,1,12
1348,1,1,1,1,1,1,1,1,2,1,2,1,3,7,3,1,1,1,1,12
1349,1,1,1,1,1,8,5,8,1,4,1,1,1,8,2,3,1,1,1,12
1350,4,1,1,1,1,8,8,4,1,3,1,1,1,8,3,3,1,1,1,12
1351,1,1,1,1,1,5,5,1,1,5,1,1,8,7,2,2,1,1,1,12
1352,1,1,1,1,1,8,1,8,1,1,1,1,2,8,1,2,1,1,1,12
1353,1,1,1,1,1,3,3,1,1,2,1,1,3,7,1,1,1,1,1,12
1354,1,1,1,1,1,3,1,3,1,1,1,1,2,5,1,2,1,1,1,12
1355,1,1,1,1,1,5,1,3,1,1,1,1,1,8,2,1,1,1,1,9
1356,2,1,1,1,1,4,4,1,1,2,1,1,1,8,2,1,1,1,1,7
1357,2,1,1,1,1,8,6,7,1,4,1,1,1,8,3,3,1,1,1,12
1358,1,1,1,1,1,8,4,8,1,3,1,1,8,8,1,2,1,1,1,12
1359,5,1,1,1,1,1,1,1,1,4,1,1,1,8,2,1,1,1,1,12
1360,1,1,1,1,1,8,8,3,1,2,1,1,1,8,1,3,1,1,1,12
1361,1,1,1,1,1,8,8,5,1,5,1,1,7,8,2,2,1,1,1,12
1362,1,1,1,1,1,8,1,8,1,2,1,1,1,8,1,3,1,1,1,12
1363,1,1,1,1,1,4,1,3,1,2,1,1,1,6,1,1,1,1,1,12
1364,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
1365,3,1,1,1,1,1,1,1,1,4,1,1,1,8,3,1,1,1,1,12
